grid_point, analysis_value, analysis_increment
[18, 19],5824.293202645768,36.87832083734156
[18, 20],5847.647800045457,51.21306404742518
[18, 21],5869.472599491226,64.50611332545395
[19, 0],5294.08944755522,-27.922984053871005
[19, 1],5367.879285359775,-0.0979767021826774
[19, 2],5429.771150674579,6.248319191253358
[19, 3],5466.554895886125,-19.08447427154897
[19, 4],5516.188598032193,-27.13334719447903
[19, 5],5560.473207165531,-29.375964019594903
[19, 6],5592.885252928929,-30.300749222992636
[19, 7],5619.972724760851,-25.67826374881497
[19, 8],5646.986987528244,-15.429128685168507
[19, 9],5673.200273266965,-4.079150216935886
[19, 10],5697.748142042493,5.703580614056591
[19, 11],5720.209371696164,11.771642885577421
[19, 12],5736.0217409144525,8.330937173098391
[19, 13],5756.787756639053,9.580367089542051
[19, 14],5780.0428039471335,17.173312053748305
[19, 15],5798.5587315669845,24.121178416499788
[19, 16],5813.738158808761,29.975988627325023
[19, 17],5827.4592657308085,35.73968266456268
[19, 18],5832.08921162325,33.728330574029314
[19, 19],5841.539744870296,37.71828117725272
[19, 20],5852.859543567396,44.30459581333707
[19, 21],5870.1431802034795,56.96702929064304
[20, 0],5315.10516247761,-35.928196933755316
[20, 1],5392.8043908754225,-5.549001138747371
[20, 2],5429.594682832265,-28.711679244384868
[20, 3],5497.80774010583,-25.49693224118255
[20, 4],5548.731303489641,-27.029848328222215
[20, 5],5586.687056242976,-25.712544944986803
[20, 6],5617.82305097695,-20.99784058084333
[20, 7],5642.985563789873,-16.33982863608253
[20, 8],5668.986750834935,-7.48170278280395
[20, 9],5694.314924933274,2.343637448825575
[20, 10],5717.947741998475,10.367769209760809
[20, 11],5737.370674596749,11.59177523553808
[20, 12],5759.046304843874,11.657259824981338
[20, 13],5776.809443606689,8.841739324197988
[20, 14],5797.839212489565,14.68477956872266
[20, 15],5818.427087414285,24.56939459186924
[20, 16],5832.388561775589,30.0388374978711
[20, 17],5843.015054107823,33.73657713402736
[20, 18],5847.223033421914,32.85376054116023
[20, 19],5847.462729876987,29.925301258144827
[20, 20],5855.440123886999,36.33703960328239
[20, 21],5865.387627688696,45.30868667215782
